Date,days,occasion,attendance,surplus,attended
1-Jan-17,Sunday,Weekend,0,0,0
2-Jan-17,Monday,,92,3,86
3-Jan-17,Tuesday,,90,2,85
4-Jan-17,Wednesday,NonVeg,131,-9,140
5-Jan-17,Thursday,,95,2,95
6-Jan-17,Friday,,62,7,55
7-Jan-17,Saturday,Weekend,10,2,10
8-Jan-17,Sunday,Weekend,0,0,0
9-Jan-17,Monday,,100,8,88
10-Jan-17,Tuesday,NonVeg,150,-3,162
11-Jan-17,Wednesday,,85,-9,90
12-Jan-17,Thursday,,95,2,95
13-Jan-17,Friday,,62,7,55
14-Jan-17,Saturday,Weekend,10,2,10
15-Jan-17,Sunday,Weekend,0,0,0
16-Jan-17,Monday,,100,8,88
17-Jan-17,Tuesday,,90,2,85
18-Jan-17,Wednesday,NonVeg,131,-9,140
19-Jan-17,Thursday,,60,10,40
20-Jan-17,Friday,Holiday,0,0,0
21-Jan-17,Saturday,Weekend,0,0,0
22-Jan-17,Sunday,Weekend,0,0,0
23-Jan-17,Monday,,90,-8,78
24-Jan-17,Tuesday,NonVeg,150,-3,172
25-Jan-17,Wednesday,,85,-9,90
26-Jan-17,Thursday,Holiday,0,0,0
27-Jan-17,Friday,,31,5,19
28-Jan-17,Saturday,Weekend,10,2,10
29-Jan-17,Sunday,Weekend,0,0,0
30-Jan-17,Monday,,10,2,10
31-Jan-17,Tuesday,,10,2,10
