Date,days,occasion,category,attendance,shortage,attended
21-Jan-17,Saturday,Weekend,,0,0,0
22-Jan-17,Sunday,Weekend,,0,0,0
23-Jan-17,Monday,Workingday,NonVeg,1009,18,1121
24-Jan-17,Tuesday,Workingday,NonVeg,1510,113,1672
25-Jan-17,Wednesday,Workingday,Veg,1485,-9,1160
26-Jan-17,Thursday,Holiday,,0,0,0
27-Jan-17,Friday,Workingday,Veg,1231,-5,1029
28-Jan-17,Saturday,Workingday,Veg,1310,-2,1039
29-Jan-17,Sunday,Weekend,,0,0,0
30-Jan-17,Monday,Workingday,Veg,1200,-2,1089
31-Jan-17,Tuesday,Workingday,Veg,1310,-12,1095
